Domain Code	Domain	Reporter Country Code	Reporter Countries	Partner Country Code	Partner Countries	Element Code	Element	Item Code	Item	Year Code	Year	Unit	Value	Flag	Flag Description
TM	Detailed trade matrix	81	Ghana	2	Afghanistan	5910	Export Quantity	486	Bananas	1998	1998	tonnes	150		Official data
TM	Detailed trade matrix	81	Ghana	2	Afghanistan	5910	Export Quantity	486	Bananas	1999	1999	tonnes	1		Official data
TM	Detailed trade matrix	81	Ghana	2	Afghanistan	5910	Export Quantity	486	Bananas	2000	2000	tonnes	0		Official data
TM	Detailed trade matrix	81	Ghana	2	Afghanistan	5922	Export Value	486	Bananas	1998	1998	1000 US$	9		Official data
TM	Detailed trade matrix	81	Ghana	2	Afghanistan	5922	Export Value	486	Bananas	1999	1999	1000 US$	0		Official data
TM	Detailed trade matrix	81	Ghana	2	Afghanistan	5922	Export Value	486	Bananas	2000	2000	1000 US$	0		Official data
TM	Detailed trade matrix	81	Ghana	2	Afghanistan	5910	Export Quantity	600	Papayas	1998	1998	tonnes	0		Official data
TM	Detailed trade matrix	81	Ghana	2	Afghanistan	5910	Export Quantity	600	Papayas	2001	2001	tonnes	3		Official data
TM	Detailed trade matrix	81	Ghana	2	Afghanistan	5922	Export Value	600	Papayas	1998	1998	1000 US$	0		Official data
TM	Detailed trade matrix	81	Ghana	2	Afghanistan	5922	Export Value	600	Papayas	2001	2001	1000 US$	0		Official data
TM	Detailed trade matrix	81	Ghana	2	Afghanistan	5910	Export Quantity	574	Pineapples	1998	1998	tonnes	10		Official data
TM	Detailed trade matrix	81	Ghana	2	Afghanistan	5910	Export Quantity	574	Pineapples	1999	1999	tonnes	22		Official data
TM	Detailed trade matrix	81	Ghana	2	Afghanistan	5910	Export Quantity	574	Pineapples	2000	2000	tonnes	2		Official data
TM	Detailed trade matrix	81	Ghana	2	Afghanistan	5910	Export Quantity	574	Pineapples	2001	2001	tonnes	44		Official data
TM	Detailed trade matrix	81	Ghana	2	Afghanistan	5910	Export Quantity	574	Pineapples	2003	2003	tonnes	19		Official data
